A1,257673,0.0,109948,-1.262705,8e-06,1.246697981305764,0.004282,0.685745,59.999989,5.974308976646093
A5,257673,0.0,646,1.0,2.0,19.777143899438435,4.0,12.0,10646.0,135.9471522771517
A6,257673,0.0,627,0.0,0.0,18.51470274339958,2.0,10.0,11018.0,111.98596523102219
A7,257673,0.0,257673,7.293876492120432e-06,0.2508894273932606,0.49971183910079475,0.4992078638123659,0.7484870763264814,0.999998535435758,0.28825690119336617
A8,257673,0.0,9382,24.0,114.0,8572.951803254513,528.0,1362.0,14355774.0,173773.88060490356
A9,257673,0.0,8653,0.0,0.0,14387.287542738277,178.0,1064.0,14657531.0,146199.28193837986
A10,257673,0.0,115171,0.0,30.793053999999998,91257.13622645491,2958.435248,125000.0003,1000000.003,160338.3862282962
A11,257673,0.51,13,0.0,62.0,179.97363062592157,254.0,254.0,255.0,102.48777745241676
A13,257673,0.0,121356,0.0,1.2318004880000002e+24,7.060869122821736e+27,7.439423125e+25,8e+27,5.988000256e+29,1.857312528417317e+28
A14,257673,0.0,116380,0.0,0.0,658214.2824903153,1747.441284,22105.38477,22422730.0,2412372.138167085
A15,257673,0.0,490,0.0,0.0,4.889317080175261,0.0,3.0,5319.0,65.57495337938032
A16,257673,0.0,476,0.0,0.0,6.7436906466723325,0.0,2.0,5507.0,53.7022219922424
A19,257673,0.0,114318,0.0,0.008,912.3008341995591,0.381696,58.094727,84371.496,6922.153239419039
A20,257673,0.0,110270,0.0,0.0,98.915461567933,0.007,56.438859,57739.24,1094.0486911895325
A21,257673,0.0,117101,0.0,0.0,5419.372970333271,0.673637,2787.367296,1483830.917,49034.49643796431
A22,257673,0.51,114246,0.0,0.0,582.9853640494152,0.0,119.6866875,463199.2401,3936.0286273473803
A23,257673,0.0,22,0.0,0.0,121.7536606474097,0.0,255.0,255.0,127.36744261798214
A24,257673,0.51,113867,0.0,0.0,1005869736.0545721,0.0,2006838355.5,4294958913.0,1367693997.8471103
A25,257673,0.51,113580,0.0,0.0,1001957106.1229101,0.0,1991626705.75,4294881924.0,1363766483.3627105
A26,257673,0.0,19,0.0,0.0,119.25462892891377,0.0,255.0,255.0,127.23047696692493
A27,257673,0.0,63878,0.0,0.0,0.046038096482751395,0.0,0.082082,3.821465,0.09290833731300241
A28,257673,0.51,57160,0.0,0.0,0.02364376068622785,0.0,0.036855,3.226788,0.05368506724485887
A29,257673,0.51,53059,0.0,0.0,0.022379567007856205,0.0,0.044663,2.928778,0.04576006416280146
A30,257673,0.0,1377,24.0,57.0,137.6390269838128,73.0,100.0,1504.0,205.90111770732503
A31,257673,0.0,1362,0.0,0.0,121.64970330612832,44.0,89.0,1500.0,254.04101321400012
A32,257673,0.51,14,0.0,0.0,0.10264551915680416,0.0,0.0,172.0,0.7123076778636355
A33,257673,0.0,2819,0.0,0.0,1968.900121471788,0.0,0.0,6558056.0,49625.23372487006
A34,257673,0.0,57,1.0,2.0,9.383175575244593,5.0,12.0,63.0,10.829705811017572
A36,257673,0.0,52,1.0,1.0,6.050467064845754,2.0,6.0,59.0,8.173749214246516
A37,257673,0.0,52,1.0,1.0,5.2382709868709565,1.0,4.0,59.0,8.1608218899091
A38,257673,0.0,35,1.0,1.0,4.032677075207724,1.0,3.0,46.0,5.831515225173218
A39,257673,0.0,58,1.0,1.0,8.3229636011534,3.0,8.0,65.0,11.120754470653859
A40,257673,0.0,257673,1.0,64419.0,128837.0,128837.0,193255.0,257673.0,74383.93229387648
A43,257673,0.0,11,0.0,0.0,0.13200451735338975,0.0,0.0,30.0,0.6818536452907503
A44,257673,0.0,52,1.0,2.0,6.800045018298386,3.0,8.0,60.0,8.396266203511304
A45,257673,0.51,57,1.0,2.0,9.133820672653087,4.0,11.0,62.0,10.88754750911733
